index,Country Name,"Number of deaths due to tuberculosis, excluding HIV",Deaths due to tuberculosis among HIV-negative people (per 100 000 population),"Muertes Por Tuberculosis (per 100,000)"
175,Tunisia,140,1,0.7142857142857143
176,Turkey,300,0,0.0
177,Turkmenistan,600,10,1.6666666666666667
178,Tuvalu,3,24,800.0
179,Uganda,7100,16,0.22535211267605634
180,Ukraine,3200,7,0.21875
181,United Arab Emirates,66,0,0.0
182,United Kingdom of Great Britain and Northern Ireland,310,0,0.0
183,United Republic of Tanzania,20000,35,0.175
184,United States of America,540,0,0.0
185,Uruguay,71,2,2.816901408450704
186,Uzbekistan,1500,4,0.26666666666666666
187,Vanuatu,16,5,31.25
188,Venezuela (Bolivarian Republic of),750,2,0.26666666666666666
189,Viet Nam,9400,9,0.09574468085106383
190,Yemen,1900,6,0.3157894736842105
191,Zambia,5900,33,0.559322033898305
192,Zimbabwe,1700,11,0.6470588235294118
